sample_id,split_hint,source_file,crop_file,label_class,image_width,image_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,ocr_suggestion,ocr_suggestion_confidence,ocr_suggestion_quality,ocr_suggestion_engine,final_text,review_status,reviewer,notes
3223_104_1_jpg.rf.73903cfeb4819f99d7489fbd6eaeaf2c__0011,train,3223_104_1_jpg.rf.73903cfeb4819f99d7489fbd6eaeaf2c.jpg,crops/3223_104_1_jpg.rf.73903cfeb4819f99d7489fbd6eaeaf2c__0011.png,number,640,640,198,185,397,246,183,176,412,259,6444410,0.56,2.21,tesseract:gray,64444110,done,platform_admin,
6101_104_1_jpg.rf.4237ee2ad3ac20382e7b79f78d4b1fae__0012,train,6101_104_1_jpg.rf.4237ee2ad3ac20382e7b79f78d4b1fae.jpg,crops/6101_104_1_jpg.rf.4237ee2ad3ac20382e7b79f78d4b1fae__0012.png,number,640,640,107,219,301,283,92,209,316,297,153144380,0.5,1.47,tesseract:gray,63144380,done,platform_admin,
2695_104_1_jpg.rf.dbc861274259dad553189fbea80fb513__0013,train,2695_104_1_jpg.rf.dbc861274259dad553189fbea80fb513.jpg,crops/2695_104_1_jpg.rf.dbc861274259dad553189fbea80fb513__0013.png,number,640,640,120,171,309,239,105,161,324,253,,,,,64507965,done,platform_admin,
6811_104_1_jpg.rf.e4037026fec65a7fada828c4816cc445__0014,train,6811_104_1_jpg.rf.e4037026fec65a7fada828c4816cc445.jpg,crops/6811_104_1_jpg.rf.e4037026fec65a7fada828c4816cc445__0014.png,number,640,640,378,198,626,256,359,189,640,268,6224357,0.56,2.21,tesseract:gray,62243571,done,platform_admin,
128_104_0_jpg.rf.14438ab06c6cdf103ff09ee9efe145ff__0015,train,128_104_0_jpg.rf.14438ab06c6cdf103ff09ee9efe145ff.jpg,crops/128_104_0_jpg.rf.14438ab06c6cdf103ff09ee9efe145ff__0015.png,number,640,640,56,174,168,241,48,164,176,255,,,,,64533565,done,platform_admin,
135_104_1_jpg.rf.2c4b61cad10d1a12cc71e8014e370255__0016,train,135_104_1_jpg.rf.2c4b61cad10d1a12cc71e8014e370255.jpg,crops/135_104_1_jpg.rf.2c4b61cad10d1a12cc71e8014e370255__0016.png,number,640,640,229,199,481,271,209,188,501,286,,,,,62264635,done,platform_admin,
6226_104_1_jpg.rf.fda4966540499432f345422668dc1258__0017,train,6226_104_1_jpg.rf.fda4966540499432f345422668dc1258.jpg,crops/6226_104_1_jpg.rf.fda4966540499432f345422668dc1258__0017.png,number,640,640,324,180,626,245,300,170,640,259,5968264,0.56,2.21,tesseract:gray,59682641,done,platform_admin,
3423_104_1_jpg.rf.76b00e744086bea6d052eef78c86a90d__0018,train,3423_104_1_jpg.rf.76b00e744086bea6d052eef78c86a90d.jpg,crops/3423_104_1_jpg.rf.76b00e744086bea6d052eef78c86a90d__0018.png,number,640,640,103,171,247,231,92,162,258,244,5777748,0.56,2.21,tesseract:otsu,63171748,done,platform_admin,
3426_104_0_jpg.rf.9c9475ccc9ab83e3f068f999e0ff5ba2__0019,train,3426_104_0_jpg.rf.9c9475ccc9ab83e3f068f999e0ff5ba2.jpg,crops/3426_104_0_jpg.rf.9c9475ccc9ab83e3f068f999e0ff5ba2__0019.png,number,640,640,75,172,211,237,65,162,221,251,54340006,0.56,2.21,tesseract:gray,64342066,done,platform_admin,
6480_104_0_jpg.rf.dd467aed19ba0362c8236398c8afeaa0__0020,train,6480_104_0_jpg.rf.dd467aed19ba0362c8236398c8afeaa0.jpg,crops/6480_104_0_jpg.rf.dd467aed19ba0362c8236398c8afeaa0__0020.png,number,640,640,215,193,425,253,199,184,441,266,62817341,0.56,2.21,tesseract:otsu,62817341,done,platform_admin,
2751_104_0_jpg.rf.f0c19d1c987c357b2b91e73a71805fac__0021,train,2751_104_0_jpg.rf.f0c19d1c987c357b2b91e73a71805fac.jpg,crops/2751_104_0_jpg.rf.f0c19d1c987c357b2b91e73a71805fac__0021.png,number,640,640,231,193,481,257,211,183,501,271,,,,,62090766,done,platform_admin,
9670_104_1_jpg.rf.25bf7368b445aa4cb486d543e4c9ad84__0022,validation,9670_104_1_jpg.rf.25bf7368b445aa4cb486d543e4c9ad84.jpg,crops/9670_104_1_jpg.rf.25bf7368b445aa4cb486d543e4c9ad84__0022.png,number,640,640,139,178,353,236,122,169,370,248,63241867,0.5,2.15,tesseract:gray,63244867,done,platform_admin,
6412_104_0_jpg.rf.8c48039f89291b43f899f5fe8c22302e__0023,train,6412_104_0_jpg.rf.8c48039f89291b43f899f5fe8c22302e.jpg,crops/6412_104_0_jpg.rf.8c48039f89291b43f899f5fe8c22302e__0023.png,number,640,640,321,197,527,255,305,188,543,267,6321358,0.5,2.15,tesseract:gray,63213581,done,platform_admin,
6241_104_1_jpg.rf.f02740c2f61be2964c87720e2b9a8d13__0024,train,6241_104_1_jpg.rf.f02740c2f61be2964c87720e2b9a8d13.jpg,crops/6241_104_1_jpg.rf.f02740c2f61be2964c87720e2b9a8d13__0024.png,number,640,640,121,189,312,257,106,179,327,271,2508N82,0.5,1.3057,tesseract:gray,62306162,done,platform_admin,
386_104_0_jpg.rf.52b5f99aa1b386d48686b26651f0ca53__0025,validation,386_104_0_jpg.rf.52b5f99aa1b386d48686b26651f0ca53.jpg,crops/386_104_0_jpg.rf.52b5f99aa1b386d48686b26651f0ca53__0025.png,number,640,640,222,192,427,261,206,181,443,276,62951306,0.56,2.21,tesseract:gray,62951306,done,platform_admin,
2457_104_0_jpg.rf.6dd54353328e955eaf5bc415fdbe2309__0026,train,2457_104_0_jpg.rf.6dd54353328e955eaf5bc415fdbe2309.jpg,crops/2457_104_0_jpg.rf.6dd54353328e955eaf5bc415fdbe2309__0026.png,number,640,640,40,184,137,253,33,173,144,268,,,,,54788187,done,platform_admin,
6425_104_1_jpeg.rf.a636dd5ab38214f23ed74fe719fe8da4__0027,train,6425_104_1_jpeg.rf.a636dd5ab38214f23ed74fe719fe8da4.jpg,crops/6425_104_1_jpeg.rf.a636dd5ab38214f23ed74fe719fe8da4__0027.png,number,640,640,149,217,370,283,132,207,387,297,53144380,0.56,2.21,tesseract:gray,63144380,done,platform_admin,
3441_104_0_jpg.rf.210e1993ece3d07addb7ce23953116a7__0028,train,3441_104_0_jpg.rf.210e1993ece3d07addb7ce23953116a7.jpg,crops/3441_104_0_jpg.rf.210e1993ece3d07addb7ce23953116a7__0028.png,number,640,640,260,188,464,248,244,179,480,261,63171383,0.56,2.21,tesseract:gray,63171383,done,platform_admin,
6197_104_0_jpg.rf.62a59e84a25c63773df49784e338f4df__0029,train,6197_104_0_jpg.rf.62a59e84a25c63773df49784e338f4df.jpg,crops/6197_104_0_jpg.rf.62a59e84a25c63773df49784e338f4df__0029.png,number,640,640,93,159,292,222,78,149,307,235,5968264,0.56,2.21,tesseract:gray,59682641,done,platform_admin,
6442_104_0_jpg.rf.c3ddcd8908c26396837b6af822c3d315__0030,train,6442_104_0_jpg.rf.c3ddcd8908c26396837b6af822c3d315.jpg,crops/6442_104_0_jpg.rf.c3ddcd8908c26396837b6af822c3d315__0030.png,number,640,640,106,193,271,260,93,183,284,274,,,,,64160229,done,platform_admin,
6181_104_1_jpg.rf.1e5d990bdb2974a46b78229a1012731d__0031,train,6181_104_1_jpg.rf.1e5d990bdb2974a46b78229a1012731d.jpg,crops/6181_104_1_jpg.rf.1e5d990bdb2974a46b78229a1012731d__0031.png,number,640,640,378,213,640,276,358,203,640,289,6094774,0.5,2.15,tesseract:gray,60947744,done,platform_admin,
3679_104_0_jpg.rf.514638411276845ddaa04a361c7e8708__0032,train,3679_104_0_jpg.rf.514638411276845ddaa04a361c7e8708.jpg,crops/3679_104_0_jpg.rf.514638411276845ddaa04a361c7e8708__0032.png,number,640,640,161,162,350,225,146,152,365,238,,,,,63171383,done,platform_admin,
6185_104_1_jpg.rf.c21878560de9233e81ed85c7831ece00__0033,validation,6185_104_1_jpg.rf.c21878560de9233e81ed85c7831ece00.jpg,crops/6185_104_1_jpg.rf.c21878560de9233e81ed85c7831ece00__0033.png,number,640,640,107,177,275,240,94,167,288,253,62308162,0.5,2.15,tesseract:gray,62306162,done,platform_admin,
2654_104_0_jpg.rf.ed8f9c00e73102e68bb8a2dee4d21009__0034,train,2654_104_0_jpg.rf.ed8f9c00e73102e68bb8a2dee4d21009.jpg,crops/2654_104_0_jpg.rf.ed8f9c00e73102e68bb8a2dee4d21009__0034.png,number,640,640,0,218,57,281,0,208,63,294,,,,,62000766,done,platform_admin,
6496_104_0_jpg.rf.eeb965fcf29db0df3d50d861a328945f__0035,train,6496_104_0_jpg.rf.eeb965fcf29db0df3d50d861a328945f.jpg,crops/6496_104_0_jpg.rf.eeb965fcf29db0df3d50d861a328945f__0035.png,number,640,640,16,213,75,270,10,204,81,282,,,,,64285232,done,platform_admin,
3419_104_0_jpg.rf.3dd3e674c437f72c790dc4ac578b80d5__0036,train,3419_104_0_jpg.rf.3dd3e674c437f72c790dc4ac578b80d5.jpg,crops/3419_104_0_jpg.rf.3dd3e674c437f72c790dc4ac578b80d5__0036.png,number,640,640,121,178,311,240,106,169,326,253,54682715,0.5,2.15,tesseract:gray,64452774,done,platform_admin,
2450_104_0_jpg.rf.7d028a0732b811b2f30d63c5f2815fa8__0037,train,2450_104_0_jpg.rf.7d028a0732b811b2f30d63c5f2815fa8.jpg,crops/2450_104_0_jpg.rf.7d028a0732b811b2f30d63c5f2815fa8__0037.png,number,640,640,312,196,534,264,295,186,551,278,55187531,0.56,2.21,tesseract:gray,63187686,done,platform_admin,
2755_104_0_jpg.rf.b6738d6f4c773b881d304524614ca546__0038,train,2755_104_0_jpg.rf.b6738d6f4c773b881d304524614ca546.jpg,crops/2755_104_0_jpg.rf.b6738d6f4c773b881d304524614ca546__0038.png,number,640,640,106,181,293,244,92,171,307,257,60164019,0.56,2.21,tesseract:gray,60164019,done,platform_admin,
3216_104_0_jpg.rf.046b5c383e82621cabf6e29aea317a27__0039,train,3216_104_0_jpg.rf.046b5c383e82621cabf6e29aea317a27.jpg,crops/3216_104_0_jpg.rf.046b5c383e82621cabf6e29aea317a27__0039.png,number,640,640,114,175,297,241,100,165,311,255,54452704,0.5,2.15,tesseract:gray,64452774,done,platform_admin,
6163_104_1_jpg.rf.0696bb889622ba641766aab2beac8f29__0040,train,6163_104_1_jpg.rf.0696bb889622ba641766aab2beac8f29.jpg,crops/6163_104_1_jpg.rf.0696bb889622ba641766aab2beac8f29__0040.png,number,640,640,163,166,373,226,147,157,389,239,,,,,63231336,done,platform_admin,
3265_104_0_jpg.rf.4892e01dd173ad05b4cc9966f6ac107e__0041,train,3265_104_0_jpg.rf.4892e01dd173ad05b4cc9966f6ac107e.jpg,crops/3265_104_0_jpg.rf.4892e01dd173ad05b4cc9966f6ac107e__0041.png,number,640,640,74,163,204,229,64,153,214,243,,,,,63229736,done,platform_admin,
6361_104_0_jpg.rf.f626b801836972c69d1e6b75482cadb2__0042,validation,6361_104_0_jpg.rf.f626b801836972c69d1e6b75482cadb2.jpg,crops/6361_104_0_jpg.rf.f626b801836972c69d1e6b75482cadb2__0042.png,number,640,640,57,195,127,255,51,186,133,268,,,,,63213581,done,platform_admin,
6464_104_0_jpg.rf.4758f9a483a58256bad42f7a9e49e0e0__0043,train,6464_104_0_jpg.rf.4758f9a483a58256bad42f7a9e49e0e0.jpg,crops/6464_104_0_jpg.rf.4758f9a483a58256bad42f7a9e49e0e0__0043.png,number,640,640,13,213,95,278,7,203,101,292,,,,,61147955,done,platform_admin,
9665_104_1_jpg.rf.a5f3443d2e0470636437b6efa5b52710__0044,train,9665_104_1_jpg.rf.a5f3443d2e0470636437b6efa5b52710.jpg,crops/9665_104_1_jpg.rf.a5f3443d2e0470636437b6efa5b52710__0044.png,number,640,640,86,181,232,240,75,172,243,252,,,,,62745500,done,platform_admin,
9646_104_0_jpg.rf.90a482bd239ab4b7e340eb7c6dc847bf__0045,train,9646_104_0_jpg.rf.90a482bd239ab4b7e340eb7c6dc847bf.jpg,crops/9646_104_0_jpg.rf.90a482bd239ab4b7e340eb7c6dc847bf__0045.png,number,640,640,80,169,209,233,70,159,219,247,,,,,64284979,done,platform_admin,
6508_104_0_jpg.rf.796cdf66ee57754d5f9c96543a71e539__0046,train,6508_104_0_jpg.rf.796cdf66ee57754d5f9c96543a71e539.jpg,crops/6508_104_0_jpg.rf.796cdf66ee57754d5f9c96543a71e539__0046.png,number,640,640,72,201,207,264,62,191,217,277,43144980,0.5,2.15,tesseract:gray,63144380,done,platform_admin,
6238_104_0_jpg.rf.c19cad08135a85786afc0883da7ce5a9__0047,train,6238_104_0_jpg.rf.c19cad08135a85786afc0883da7ce5a9.jpg,crops/6238_104_0_jpg.rf.c19cad08135a85786afc0883da7ce5a9__0047.png,number,640,640,91,199,267,271,77,188,281,286,,,,,61095436,done,platform_admin,
3413_104_0_jpeg.rf.d130b05748d2ef8775c2dd4204a1e2a5__0048,train,3413_104_0_jpeg.rf.d130b05748d2ef8775c2dd4204a1e2a5.jpg,crops/3413_104_0_jpeg.rf.d130b05748d2ef8775c2dd4204a1e2a5__0048.png,number,640,640,293,191,504,254,277,181,520,267,64444110,0.56,2.21,tesseract:gray,64444110,done,platform_admin,
6515_104_1_jpg.rf.75022ce71ac3ad440a8d933de5527298__0049,validation,6515_104_1_jpg.rf.75022ce71ac3ad440a8d933de5527298.jpg,crops/6515_104_1_jpg.rf.75022ce71ac3ad440a8d933de5527298__0049.png,number,640,640,248,189,450,249,232,180,466,262,6321858,0.5,2.15,tesseract:gray,63218580,done,platform_admin,
6322_104_0_jpg.rf.2a4cdba98087b6513c05a8c7c6c1a55d__0050,train,6322_104_0_jpg.rf.2a4cdba98087b6513c05a8c7c6c1a55d.jpg,crops/6322_104_0_jpg.rf.2a4cdba98087b6513c05a8c7c6c1a55d__0050.png,number,640,640,345,197,564,257,328,188,581,270,4008122,0.56,2.21,tesseract:gray,60081221,done,platform_admin,
3211_104_0_jpg.rf.2913d50310d5457ebf8e09ccc744b17d__0051,train,3211_104_0_jpg.rf.2913d50310d5457ebf8e09ccc744b17d.jpg,crops/3211_104_0_jpg.rf.2913d50310d5457ebf8e09ccc744b17d__0051.png,number,640,640,8,216,57,271,2,208,63,283,,,,,63171748,done,platform_admin,
6328_104_0_jpg.rf.7c2742d53367f1cc46f02499d8e270f0__0052,train,6328_104_0_jpg.rf.7c2742d53367f1cc46f02499d8e270f0.jpg,crops/6328_104_0_jpg.rf.7c2742d53367f1cc46f02499d8e270f0__0052.png,number,640,640,73,175,193,236,64,166,202,249,A0022,0.56,1.22,tesseract:gray,60081221,done,platform_admin,
6319_104_0_jpg.rf.c9d7e08eabce9d12116e71663cfcc70e__0053,validation,6319_104_0_jpg.rf.c9d7e08eabce9d12116e71663cfcc70e.jpg,crops/6319_104_0_jpg.rf.c9d7e08eabce9d12116e71663cfcc70e__0053.png,number,640,640,35,205,113,271,29,195,119,285,,,,,60081221,done,platform_admin,
6276_104_1_jpg.rf.1933058fdc3d62e8f985aa20cfc3f24f__0054,validation,6276_104_1_jpg.rf.1933058fdc3d62e8f985aa20cfc3f24f.jpg,crops/6276_104_1_jpg.rf.1933058fdc3d62e8f985aa20cfc3f24f__0054.png,number,640,640,139,183,322,247,125,173,336,261,4371358,0.56,2.21,tesseract:gray,63213581,done,platform_admin,
6814_104_1_jpg.rf.a42372d365d950865893c57cccf9a34a__0055,train,6814_104_1_jpg.rf.a42372d365d950865893c57cccf9a34a.jpg,crops/6814_104_1_jpg.rf.a42372d365d950865893c57cccf9a34a__0055.png,number,640,640,111,198,301,264,96,188,316,278,64514689,0.5,2.15,tesseract:gray,64514649,done,platform_admin,
6447_104_1_jpg.rf.b55880df9e298ac03b46c54b516a495d__0056,validation,6447_104_1_jpg.rf.b55880df9e298ac03b46c54b516a495d.jpg,crops/6447_104_1_jpg.rf.b55880df9e298ac03b46c54b516a495d__0056.png,number,640,640,197,193,424,255,179,184,442,268,64428335,0.56,2.21,tesseract:gray,64286313,done,platform_admin,
6204_104_1_jpg.rf.d1da18a53ce5c6756415afcbf6f813c7__0057,validation,6204_104_1_jpg.rf.d1da18a53ce5c6756415afcbf6f813c7.jpg,crops/6204_104_1_jpg.rf.d1da18a53ce5c6756415afcbf6f813c7__0057.png,number,640,640,362,190,620,248,342,181,640,260,8172056,0.5,2.15,tesseract:gray,61712036,done,platform_admin,
389_104_0_jpg.rf.74a253301ca6c13d5606b8ec4b4b0d6a__0058,train,389_104_0_jpg.rf.74a253301ca6c13d5606b8ec4b4b0d6a.jpg,crops/389_104_0_jpg.rf.74a253301ca6c13d5606b8ec4b4b0d6a__0058.png,number,640,640,60,186,150,250,53,176,157,264,,,,,,pending,,
2215_104_0_jpg.rf.9b2bb7c9d28c66e752053d00759e1a9e__0059,train,2215_104_0_jpg.rf.9b2bb7c9d28c66e752053d00759e1a9e.jpg,crops/2215_104_0_jpg.rf.9b2bb7c9d28c66e752053d00759e1a9e__0059.png,number,640,640,34,196,94,255,28,187,100,267,,,,,,pending,,
3432_104_0_jpg.rf.3e287b726a6236769425a6a5ce773e26__0060,train,3432_104_0_jpg.rf.3e287b726a6236769425a6a5ce773e26.jpg,crops/3432_104_0_jpg.rf.3e287b726a6236769425a6a5ce773e26__0060.png,number,640,640,114,183,309,245,99,174,324,258,,,,,,pending,,
3550_104_0_jpg.rf.8f17ab8a3b1bec38f855b35dda05cb4f__0061,train,3550_104_0_jpg.rf.8f17ab8a3b1bec38f855b35dda05cb4f.jpg,crops/3550_104_0_jpg.rf.8f17ab8a3b1bec38f855b35dda05cb4f__0061.png,number,640,640,53,191,138,256,47,181,144,270,,,,,,pending,,
2459_104_1_jpg.rf.f3a445c0b3fe6d12b2d663ac7ec271e0__0062,train,2459_104_1_jpg.rf.f3a445c0b3fe6d12b2d663ac7ec271e0.jpg,crops/2459_104_1_jpg.rf.f3a445c0b3fe6d12b2d663ac7ec271e0__0062.png,number,640,640,165,183,374,249,149,173,390,263,61685459,0.56,2.21,tesseract:gray,,pending,,
2213_104_0_jpg.rf.799625119137d929b5f9aa9a6edc7aab__0063,train,2213_104_0_jpg.rf.799625119137d929b5f9aa9a6edc7aab.jpg,crops/2213_104_0_jpg.rf.799625119137d929b5f9aa9a6edc7aab__0063.png,number,640,640,182,191,398,259,165,181,415,273,,,,,,pending,,
6774_104_0_jpg.rf.879058c7812ee6368dcd9f582a46a4a9__0064,train,6774_104_0_jpg.rf.879058c7812ee6368dcd9f582a46a4a9.jpg,crops/6774_104_0_jpg.rf.879058c7812ee6368dcd9f582a46a4a9__0064.png,number,640,640,56,196,165,264,48,186,173,278,,,,,,pending,,
5455_104_1_jpg.rf.e9b36b66853bc14c4d87eb7974ad20c3__0065,train,5455_104_1_jpg.rf.e9b36b66853bc14c4d87eb7974ad20c3.jpg,crops/5455_104_1_jpg.rf.e9b36b66853bc14c4d87eb7974ad20c3__0065.png,number,640,640,200,188,412,252,184,178,428,266,65163818,0.56,2.21,tesseract:otsu,,pending,,
6823_104_0_jpg.rf.835842edd869b8a29e99eef3d7599e22__0066,validation,6823_104_0_jpg.rf.835842edd869b8a29e99eef3d7599e22.jpg,crops/6823_104_0_jpg.rf.835842edd869b8a29e99eef3d7599e22__0066.png,number,640,640,27,204,116,271,20,194,123,285,,,,,,pending,,
3271_104_1_jpg.rf.89262bbc44b49e8f3ba2464d7760f15c__0067,train,3271_104_1_jpg.rf.89262bbc44b49e8f3ba2464d7760f15c.jpg,crops/3271_104_1_jpg.rf.89262bbc44b49e8f3ba2464d7760f15c__0067.png,number,640,640,223,175,439,238,206,165,456,251,,,,,,pending,,
6171_104_1_jpeg.rf.90a40327e924b94908dc8bda99808ddf__0068,train,6171_104_1_jpeg.rf.90a40327e924b94908dc8bda99808ddf.jpg,crops/6171_104_1_jpeg.rf.90a40327e924b94908dc8bda99808ddf__0068.png,number,640,640,77,161,223,224,66,151,234,237,41172052,0.56,2.21,tesseract:gray,,pending,,
6825_104_1_jpg.rf.076b62809b15f0a2b8498afe92aa398e__0069,train,6825_104_1_jpg.rf.076b62809b15f0a2b8498afe92aa398e.jpg,crops/6825_104_1_jpg.rf.076b62809b15f0a2b8498afe92aa398e__0069.png,number,640,640,198,184,424,249,180,174,442,263,634507,0.5,1.47,tesseract:gray,,pending,,
6270_104_0_jpg.rf.a9dcee14edd826d1cc595775447022ad__0070,train,6270_104_0_jpg.rf.a9dcee14edd826d1cc595775447022ad.jpg,crops/6270_104_0_jpg.rf.a9dcee14edd826d1cc595775447022ad__0070.png,number,640,640,196,178,425,241,178,168,443,254,,,,,,pending,,
3467_104_0_jpg.rf.aaab8f4705a100eaa1c245bddf57759b__0071,train,3467_104_0_jpg.rf.aaab8f4705a100eaa1c245bddf57759b.jpg,crops/3467_104_0_jpg.rf.aaab8f4705a100eaa1c245bddf57759b__0071.png,number,640,640,35,203,105,263,29,194,111,276,,,,,,pending,,
6767_104_0_jpg.rf.d0226563dede47009534e0bc24d59be7__0072,train,6767_104_0_jpg.rf.d0226563dede47009534e0bc24d59be7.jpg,crops/6767_104_0_jpg.rf.d0226563dede47009534e0bc24d59be7__0072.png,number,640,640,255,192,490,252,237,183,508,265,644443,0.5,1.47,tesseract:gray,,pending,,
6426_104_0_jpg.rf.d34d716b1af02ddffc2d7fd08f94de01__0073,train,6426_104_0_jpg.rf.d34d716b1af02ddffc2d7fd08f94de01.jpg,crops/6426_104_0_jpg.rf.d34d716b1af02ddffc2d7fd08f94de01__0073.png,number,640,640,240,227,462,287,223,218,479,300,155144580,0.56,1.53,tesseract:otsu,,pending,,
149_104_0_jpg.rf.433a1e580786226efe1a0295c6b0183c__0074,train,149_104_0_jpg.rf.433a1e580786226efe1a0295c6b0183c.jpg,crops/149_104_0_jpg.rf.433a1e580786226efe1a0295c6b0183c__0074.png,number,640,640,66,194,215,265,55,183,226,280,,,,,,pending,,
8181_104_1_jpeg.rf.f8c731e70e25ba699787073774d41fa3__0075,train,8181_104_1_jpeg.rf.f8c731e70e25ba699787073774d41fa3.jpg,crops/8181_104_1_jpeg.rf.f8c731e70e25ba699787073774d41fa3__0075.png,number,640,640,124,181,352,248,106,171,370,262,6343152,0.5,2.15,tesseract:gray,,pending,,
2484_104_0_jpg.rf.8c76b1e754034dafa52b43a2ad508838__0076,train,2484_104_0_jpg.rf.8c76b1e754034dafa52b43a2ad508838.jpg,crops/2484_104_0_jpg.rf.8c76b1e754034dafa52b43a2ad508838__0076.png,number,640,640,99,191,282,255,85,181,296,269,641889N,0.56,1.3657,tesseract:gray,,pending,,
2231_104_1_jpg.rf.bdcabdc8e758821e03a02f6fd4e746fa__0077,train,2231_104_1_jpg.rf.bdcabdc8e758821e03a02f6fd4e746fa.jpg,crops/2231_104_1_jpg.rf.bdcabdc8e758821e03a02f6fd4e746fa__0077.png,number,640,640,158,190,368,258,142,180,384,272,60880209,0.5,2.15,tesseract:gray,,pending,,
3199_104_1_jpg.rf.eada1efe9451db26ed4e6011a12d4755__0078,train,3199_104_1_jpg.rf.eada1efe9451db26ed4e6011a12d4755.jpg,crops/3199_104_1_jpg.rf.eada1efe9451db26ed4e6011a12d4755__0078.png,number,640,640,102,181,298,242,87,172,313,255,,,,,,pending,,
6770_104_1_jpg.rf.9baf759ee18dfa33e77702eed2ceee6a__0079,train,6770_104_1_jpg.rf.9baf759ee18dfa33e77702eed2ceee6a.jpg,crops/6770_104_1_jpg.rf.9baf759ee18dfa33e77702eed2ceee6a__0079.png,number,640,640,129,177,328,241,114,167,343,255,5484863,0.5,2.15,tesseract:gray,,pending,,
8162_104_1_jpg.rf.dbdd263038a911c0431d178de225138b__0080,train,8162_104_1_jpg.rf.dbdd263038a911c0431d178de225138b.jpg,crops/8162_104_1_jpg.rf.dbdd263038a911c0431d178de225138b__0080.png,number,640,640,181,201,418,267,163,191,436,281,,,,,,pending,,
